Type,Arrival Date,Main Cabin Seats,Flight Number,Destination Code,Origin Airport,Miner Points,Origin Code,Business Class Price,Main Cabin Price,Departing Time,Duration,Surcharge,Origin Airport Lounge,Distance,Time Zone Difference,Arrival Time,Departing Date,Origin Airport State,Origin Airport Country,Origin Airport Fee,Destination Airport City,Food Served,Destination Airport State,Destination Airport Country,Destination Airport Fee,Destination Airport Lounge,Route Cost,Total Seats,ID,First Class Seats,Destination Airport,Business Class Seats,Origin Airport City,First Class Price,First Class Seats Sold,Business Class Seats Sold,Main Class Seats Sold,Total First Class Revenue,Total Business Class Revenue,Total Main Class Revenue
Domestic,3/23/23,72,2311,DFW,El Paso International Airport,1102,ELP,1153,295,5:30 AM,94,0,false,551,1,8:04 AM,3/23/23,Texas,United States,3.5,Dallas,false,Texas,United States,3.0,true,11686,142,1,10,Dallas/Ft. Worth International Airport,60,El Paso,2052,0,3,13,0,3459,3835
Domestic,3/23/23,80,2322,DFW,El Paso International Airport,1102,ELP,618,528,8:25 AM,94,0,false,551,1,10:59 AM,3/23/23,Texas,United States,3.5,Dallas,false,Texas,United States,3.0,true,11686,140,2,11,Dallas/Ft. Worth International Airport,49,El Paso,1745,3,5,18,5235,3090,9504
Domestic,3/23/23,79,2333,DFW,El Paso International Airport,1102,ELP,856,536,12:10 PM,94,0,false,551,1,2:44 PM,3/23/23,Texas,United States,3.5,Dallas,false,Texas,United States,3.0,true,11686,131,3,13,Dallas/Ft. Worth International Airport,39,El Paso,1856,1,3,7,1856,2568,3752
Domestic,3/23/23,85,2344,ELP,Dallas/Ft. Worth International Airport,1102,DFW,1066,339,5:30 AM,94,0,true,551,-1,6:04 AM,3/23/23,Texas,United States,3.0,El Paso,false,Texas,United States,3.5,false,19082,138,4,12,El Paso International Airport,41,Dallas,2189,2,0,5,4378,0,1695
Domestic,3/23/23,72,2355,ELP,Dallas/Ft. Worth International Airport,1102,DFW,1117,534,8:25 AM,94,0,true,551,-1,8:59 AM,3/23/23,Texas,United States,3.0,El Paso,false,Texas,United States,3.5,false,19082,129,5,8,El Paso International Airport,49,Dallas,2490,0,0,16,0,0,8544
Domestic,3/23/23,72,2366,ELP,Dallas/Ft. Worth International Airport,1102,DFW,657,269,12:10 PM,94,0,true,551,-1,12:44 PM,3/23/23,Texas,United States,3.0,El Paso,false,Texas,United States,3.5,false,19082,138,6,10,El Paso International Airport,56,Dallas,2856,2,4,18,5712,2628,4842
Domestic,3/23/23,63,2377,LAX,El Paso International Airport,1428,ELP,689,382,5:30 AM,113,0,false,714,-1,6:23 AM,3/23/23,Texas,United States,3.5,Los Angeles,false,California,United States,4.0,true,14000,100,7,9,Los Angeles International Airport,28,El Paso,1342,0,15,37,0,10335,14134
Domestic,3/23/23,75,2388,LAX,El Paso International Airport,1428,ELP,960,229,8:25 AM,113,0,false,714,-1,9:18 AM,3/23/23,Texas,United States,3.5,Los Angeles,false,California,United States,4.0,true,14000,122,8,10,Los Angeles International Airport,37,El Paso,2005,0,9,12,0,8640,2748
Domestic,3/23/23,64,2309,LAX,El Paso International Airport,1428,ELP,720,202,12:10 PM,113,0,false,714,-1,1:03 PM,3/23/23,Texas,United States,3.5,Los Angeles,false,California,United States,4.0,true,14000,108,9,7,Los Angeles International Airport,37,El Paso,2034,3,11,34,6102,7920,6868
Domestic,3/23/23,55,23110,ELP,Los Angeles International Airport,1428,LAX,826,165,5:30 AM,113,0,true,714,1,8:23 AM,3/23/23,California,United States,4.0,El Paso,false,Texas,United States,3.5,false,10513,108,10,9,El Paso International Airport,44,Los Angeles,1223,0,6,42,0,4956,6930
Domestic,3/23/23,78,23211,ELP,Los Angeles International Airport,1428,LAX,1096,273,8:25 AM,113,0,true,714,1,11:18 AM,3/23/23,California,United States,4.0,El Paso,false,Texas,United States,3.5,false,10513,120,11,9,El Paso International Airport,33,Los Angeles,2259,0,11,15,0,12056,4095
Domestic,3/23/23,89,23312,ELP,Los Angeles International Airport,1428,LAX,1048,220,12:10 PM,113,0,true,714,1,3:03 PM,3/23/23,California,United States,4.0,El Paso,false,Texas,United States,3.5,false,10513,160,12,13,El Paso International Airport,58,Los Angeles,3342,0,0,13,0,0,2860
Domestic,3/23/23,59,23413,ORD,El Paso International Airport,2470,ELP,707,214,5:30 AM,176,0,false,1235,1,9:26 AM,3/23/23,Texas,United States,3.5,Chicago,false,Illinois,United States,4.5,true,10706,122,13,14,Chicago International Airport,49,El Paso,1810,0,13,32,0,9191,6848
Domestic,3/23/23,74,23514,ORD,El Paso International Airport,2470,ELP,611,269,8:25 AM,176,0,false,1235,1,12:21 PM,3/23/23,Texas,United States,3.5,Chicago,false,Illinois,United States,4.5,true,10706,130,14,10,Chicago International Airport,46,El Paso,2828,0,12,11,0,7332,2959
Domestic,3/23/23,83,23615,ORD,El Paso International Airport,2470,ELP,883,449,12:10 PM,176,0,false,1235,1,4:06 PM,3/23/23,Texas,United States,3.5,Chicago,false,Illinois,United States,4.5,true,10706,130,15,7,Chicago International Airport,40,El Paso,2303,4,9,19,9212,7947,8531
Domestic,3/23/23,65,23716,ELP,Chicago International Airport,2470,ORD,906,527,5:30 AM,176,0,true,1235,-1,7:26 AM,3/23/23,Illinois,United States,4.5,El Paso,false,Texas,United States,3.5,false,19778,109,16,7,El Paso International Airport,37,Chicago,1405,1,15,23,1405,13590,12121
Domestic,3/23/23,90,23817,ELP,Chicago International Airport,2470,ORD,715,325,8:25 AM,176,0,true,1235,-1,10:21 AM,3/23/23,Illinois,United States,4.5,El Paso,false,Texas,United States,3.5,false,19778,144,17,9,El Paso International Airport,45,Chicago,2606,0,15,5,0,10725,1625
Domestic,3/23/23,76,23018,ELP,Chicago International Airport,2470,ORD,652,533,12:10 PM,176,0,true,1235,-1,2:06 PM,3/23/23,Illinois,United States,4.5,El Paso,false,Texas,United States,3.5,false,19778,137,18,8,El Paso International Airport,53,Chicago,1784,0,7,19,0,4564,10127
Domestic,3/23/23,83,23119,ATL,El Paso International Airport,2560,ELP,698,508,5:30 AM,181,0,false,1280,2,10:31 AM,3/23/23,Texas,United States,3.5,Atlanta,false,Georgia,United States,4.5,true,11291,140,19,13,Hartsfield-Jackson Atlanta International Airport,44,El Paso,1924,1,14,12,1924,9772,6096
Domestic,3/23/23,74,23220,ATL,El Paso International Airport,2560,ELP,1134,376,8:25 AM,181,0,false,1280,2,1:26 PM,3/23/23,Texas,United States,3.5,Atlanta,false,Georgia,United States,4.5,true,11291,134,20,11,Hartsfield-Jackson Atlanta International Airport,49,El Paso,1724,2,9,26,3448,10206,9776
Domestic,3/23/23,87,23321,ATL,El Paso International Airport,2560,ELP,861,408,12:10 PM,181,0,false,1280,2,5:11 PM,3/23/23,Texas,United States,3.5,Atlanta,false,Georgia,United States,4.5,true,11291,146,21,9,Hartsfield-Jackson Atlanta International Airport,50,El Paso,1827,6,12,8,10962,10332,3264
Domestic,3/23/23,70,23422,ELP,Hartsfield-Jackson Atlanta International Airport,2560,ATL,555,396,5:30 AM,181,0,true,1280,-2,6:31 AM,3/23/23,Georgia,United States,4.5,El Paso,false,Texas,United States,3.5,false,10990,110,22,11,El Paso International Airport,29,Atlanta,2396,4,23,28,9584,12765,11088
Domestic,3/23/23,71,23523,ELP,Hartsfield-Jackson Atlanta International Airport,2560,ATL,959,194,8:25 AM,181,0,true,1280,-2,9:26 AM,3/23/23,Georgia,United States,4.5,El Paso,false,Texas,United States,3.5,false,10990,121,23,9,El Paso International Airport,41,Atlanta,2878,4,6,32,11512,5754,6208
Domestic,3/23/23,100,23624,ELP,Hartsfield-Jackson Atlanta International Airport,2560,ATL,815,277,12:10 PM,181,0,true,1280,-2,1:11 PM,3/23/23,Georgia,United States,4.5,El Paso,false,Texas,United States,3.5,false,10990,142,24,7,El Paso International Airport,35,Atlanta,1699,4,16,0,6796,13040,0
Domestic,3/23/23,87,23725,JFK,El Paso International Airport,3806,ELP,590,284,5:30 AM,256,0,false,1903,2,11:46 AM,3/23/23,Texas,United States,3.5,New York,false,New York,United States,6.0,true,16215,146,25,11,John F. Kennedy International Airport,48,El Paso,3007,1,0,4,3007,0,1136
Domestic,3/23/23,84,23826,JFK,El Paso International Airport,3806,ELP,1063,321,8:25 AM,256,0,false,1903,2,2:41 PM,3/23/23,Texas,United States,3.5,New York,false,New York,United States,6.0,true,16215,123,26,12,John F. Kennedy International Airport,27,El Paso,2168,1,25,15,2168,26575,4815
Domestic,3/23/23,83,23027,JFK,El Paso International Airport,3806,ELP,1085,461,12:10 PM,256,0,false,1903,2,6:26 PM,3/23/23,Texas,United States,3.5,New York,false,New York,United States,6.0,true,16215,134,27,8,John F. Kennedy International Airport,43,El Paso,2925,0,18,6,0,19530,2766
Domestic,3/23/23,71,23128,ELP,John F. Kennedy International Airport,3806,JFK,849,448,5:30 AM,256,0,true,1903,-2,7:46 AM,3/23/23,New York,United States,6.0,El Paso,false,Texas,United States,3.5,false,12213,113,28,11,El Paso International Airport,31,New York,1254,0,27,14,0,22923,6272
Domestic,3/23/23,91,23229,ELP,John F. Kennedy International Airport,3806,JFK,1095,212,8:25 AM,256,0,true,1903,-2,10:41 AM,3/23/23,New York,United States,6.0,El Paso,false,Texas,United States,3.5,false,12213,124,29,10,El Paso International Airport,23,New York,1961,0,34,2,0,37230,424
Domestic,3/23/23,78,23330,ELP,John F. Kennedy International Airport,3806,JFK,1057,521,12:10 PM,256,0,true,1903,-2,2:26 PM,3/23/23,New York,United States,6.0,El Paso,false,Texas,United States,3.5,false,12213,122,30,12,El Paso International Airport,32,New York,1528,1,11,9,1528,11627,4689
Domestic,3/23/23,82,23431,BOS,El Paso International Airport,4128,ELP,914,419,5:30 AM,275,0,false,2064,2,12:05 PM,3/23/23,Texas,United States,3.5,Boston,false,Massachusetts,United States,3.0,true,11994,139,31,14,Boston Logan International Airport,43,El Paso,2866,0,6,10,0,5484,4190
Domestic,3/23/23,88,23532,BOS,El Paso International Airport,4128,ELP,952,191,8:25 AM,275,0,false,2064,2,3:00 PM,3/23/23,Texas,United States,3.5,Boston,false,Massachusetts,United States,3.0,true,11994,122,32,10,Boston Logan International Airport,24,El Paso,3015,3,19,1,9045,18088,191
Domestic,3/23/23,97,23633,BOS,El Paso International Airport,4128,ELP,1156,420,12:10 PM,275,0,false,2064,2,6:45 PM,3/23/23,Texas,United States,3.5,Boston,false,Massachusetts,United States,3.0,true,11994,159,33,8,Boston Logan International Airport,54,El Paso,2060,2,7,7,4120,8092,2940
Domestic,3/23/23,97,23734,ELP,Logan International Airport,4128,BOS,1147,180,5:30 AM,275,0,true,2064,2,12:05 PM,3/23/23,Massachusetts,United States,3.0,El Paso,false,Texas,United States,3.5,false,15119,143,34,14,El Paso International Airport,32,Boston,2905,0,12,7,0,13764,1260
Domestic,3/23/23,92,23835,ELP,Logan International Airport,4128,BOS,1173,446,8:25 AM,275,0,true,2064,2,3:00 PM,3/23/23,Massachusetts,United States,3.0,El Paso,false,Texas,United States,3.5,false,15119,131,35,15,El Paso International Airport,24,Boston,3458,0,21,10,0,24633,4460
Domestic,3/23/23,65,23036,ELP,Logan International Airport,4128,BOS,755,310,12:10 PM,275,0,true,2064,2,6:45 PM,3/23/23,Massachusetts,United States,3.0,El Paso,false,Texas,United States,3.5,false,15119,123,36,15,El Paso International Airport,43,Boston,3128,0,3,22,0,2265,6820
Domestic,3/23/23,84,23137,LAS,El Paso International Airport,1164,ELP,738,507,5:30 AM,97,0,false,582,-1,6:07 AM,3/23/23,Texas,United States,3.5,Las Vegas,false,Nevada,United States,3.5,true,17071,145,37,10,Harry Reid International Airport,51,El Paso,2739,1,12,14,2739,8856,7098
Domestic,3/23/23,84,23238,LAS,El Paso International Airport,1164,ELP,611,436,8:25 AM,97,0,false,582,-1,9:02 AM,3/23/23,Texas,United States,3.5,Las Vegas,false,Nevada,United States,3.5,true,17071,130,38,10,Harry Reid International Airport,36,El Paso,3130,0,14,10,0,8554,4360
Domestic,3/23/23,72,23339,LAS,El Paso International Airport,1164,ELP,1072,374,12:10 PM,97,0,false,582,-1,12:47 PM,3/23/23,Texas,United States,3.5,Las Vegas,false,Nevada,United States,3.5,true,17071,136,39,10,Harry Reid International Airport,54,El Paso,3398,0,0,27,0,0,10098
Domestic,3/23/23,78,23440,ELP,Harry Reid International Airport,1164,LAS,620,148,5:30 AM,97,0,true,582,1,8:07 AM,3/23/23,Nevada,United States,3.5,El Paso,false,Texas,United States,3.5,false,16242,154,40,14,El Paso International Airport,62,Las Vegas,1898,0,0,10,0,0,1480
Domestic,3/23/23,74,23541,ELP,Harry Reid International Airport,1164,LAS,939,376,8:25 AM,97,0,true,582,1,11:02 AM,3/23/23,Nevada,United States,3.5,El Paso,false,Texas,United States,3.5,false,16242,126,41,8,El Paso International Airport,44,Las Vegas,2900,0,9,13,0,8451,4888
Domestic,3/23/23,64,23642,ELP,Harry Reid International Airport,1164,LAS,597,158,12:10 PM,97,0,true,582,1,2:47 PM,3/23/23,Nevada,United States,3.5,El Paso,false,Texas,United States,3.5,false,16242,100,42,7,El Paso International Airport,29,Las Vegas,1846,6,15,29,11076,8955,4582
International,3/23/23,85,23743,LHR,El Paso International Airport,15444,ELP,3195,1317,5:30 AM,645,13,false,5148,7,11:15 PM,3/23/23,Texas,United States,3.5,London,true,United Kingdom,England,5.0,true,66329,127,43,8,Heathrow Airport,34,El Paso,5011,0,9,8,0,28872,10640
International,3/24/23,79,23844,LHR,El Paso International Airport,15444,ELP,4542,901,8:25 AM,645,13,false,5148,7,2:10 AM,3/23/23,Texas,United States,3.5,London,true,United Kingdom,England,5.0,true,66329,121,44,10,Heathrow Airport,32,El Paso,12706,0,14,12,0,63770,10968
International,3/24/23,86,23045,LHR,El Paso International Airport,15444,ELP,3363,721,12:10 PM,645,13,false,5148,7,5:55 AM,3/23/23,Texas,United States,3.5,London,true,United Kingdom,England,5.0,true,66329,156,45,11,Heathrow Airport,59,El Paso,8859,0,0,10,0,0,7340
International,3/23/23,92,23146,ELP,Heathrow Airport,15444,LHR,2987,888,5:30 AM,645,13,false,5148,-7,9:15 AM,3/23/23,United Kingdom,England,5.0,El Paso,true,Texas,United States,3.5,false,72726,151,46,11,El Paso International Airport,48,London,8684,0,0,3,0,0,2703
International,3/23/23,94,23247,ELP,Heathrow Airport,15444,LHR,5012,662,8:25 AM,645,13,false,5148,-7,12:10 PM,3/23/23,United Kingdom,England,5.0,El Paso,true,Texas,United States,3.5,false,72726,144,47,10,El Paso International Airport,40,London,5644,0,0,10,0,0,6750
International,3/23/23,87,23348,ELP,Heathrow Airport,15444,LHR,4423,987,12:10 PM,645,13,false,5148,-7,3:55 PM,3/23/23,United Kingdom,England,5.0,El Paso,true,Texas,United States,3.5,false,72726,143,48,12,El Paso International Airport,44,London,7484,0,7,11,0,31052,11000
International,3/23/23,69,23449,MEX,Abraham Gonzalez International Airport,2871,CJS,5222,873,5:30 AM,142,3,false,957,1,8:52 AM,3/23/23,Chihuahua,Mexico,2.5,Ciudad de Mexico,true,Distrito Federal,Mexico,4.5,false,71871,117,49,11,Aeropuerto Internacional Benito Juarez,37,Juarez,10438,0,3,18,0,15675,15768
International,3/23/23,85,23550,MEX,Abraham Gonzalez International Airport,2871,CJS,2850,1189,8:25 AM,142,3,false,957,1,11:47 AM,3/23/23,Chihuahua,Mexico,2.5,Ciudad de Mexico,true,Distrito Federal,Mexico,4.5,false,71871,155,50,9,Aeropuerto Internacional Benito Juarez,61,Juarez,8195,0,3,4,0,8559,4768
International,3/23/23,77,23651,MEX,Abraham Gonzalez International Airport,2871,CJS,4025,800,12:10 PM,142,3,false,957,1,3:32 PM,3/23/23,Chihuahua,Mexico,2.5,Ciudad de Mexico,true,Distrito Federal,Mexico,4.5,false,71871,149,51,9,Aeropuerto Internacional Benito Juarez,63,Juarez,4411,0,0,14,0,0,11242
International,3/23/23,99,23752,CJS,Aeropuerto Internacional Benito Juarez,2871,MEX,2972,1196,5:30 AM,142,3,false,957,-1,6:52 AM,3/23/23,Distrito Federal,Mexico,4.5,Juarez,true,Chihuahua,Mexico,2.5,false,56292,149,52,8,Abraham Gonzalez International Airport,42,Ciudad de Mexico,5162,0,4,4,0,11900,4796
International,3/23/23,83,23853,CJS,Aeropuerto Internacional Benito Juarez,2871,MEX,5410,1061,8:25 AM,142,3,false,957,-1,9:47 AM,3/23/23,Distrito Federal,Mexico,4.5,Juarez,true,Chihuahua,Mexico,2.5,false,56292,142,53,15,Abraham Gonzalez International Airport,44,Ciudad de Mexico,11443,0,0,9,0,0,9576
International,3/23/23,76,23054,CJS,Aeropuerto Internacional Benito Juarez,2871,MEX,4308,1323,12:10 PM,142,3,false,957,-1,1:32 PM,3/23/23,Distrito Federal,Mexico,4.5,Juarez,true,Chihuahua,Mexico,2.5,false,56292,143,54,14,Abraham Gonzalez International Airport,53,Ciudad de Mexico,4286,0,9,19,0,38799,25194
Domestic,3/23/23,74,23155,LAX,Orlando International Airport,3854,ORL,727,121,5:30 AM,281,0,true,1927,-3,7:11 AM,3/23/23,Florida,United States,5.0,Los Angeles,false,California,United States,4.0,true,70024,124,55,9,Los Angeles International Airport,41,Orlando,2115,2,8,22,4230,5816,2662
Domestic,3/23/23,62,23256,LAX,Orlando International Airport,3854,ORL,576,232,8:25 AM,281,0,true,1927,-3,10:06 AM,3/23/23,Florida,United States,5.0,Los Angeles,false,California,United States,4.0,true,70024,119,56,13,Los Angeles International Airport,44,Orlando,3098,2,18,24,6196,10368,5568
Domestic,3/23/23,94,23357,LAX,Orlando International Airport,3854,ORL,945,416,12:10 PM,281,0,true,1927,-3,1:51 PM,3/23/23,Florida,United States,5.0,Los Angeles,false,California,United States,4.0,true,70024,164,57,13,Los Angeles International Airport,57,Orlando,3026,0,6,7,0,5670,2912
Domestic,3/23/23,81,23458,ORL,Los Angeles International Airport,3854,LAX,739,485,5:30 AM,281,0,true,1927,3,1:11 PM,3/23/23,California,United States,4.0,Orlando,false,Florida,United States,5.0,true,71901,124,58,4,Orlando International Airport,39,Los Angeles,2768,5,2,5,13840,1478,2425
Domestic,3/23/23,66,23559,ORL,Los Angeles International Airport,3854,LAX,1130,199,8:25 AM,281,0,true,1927,3,4:06 PM,3/23/23,California,United States,4.0,Orlando,false,Florida,United States,5.0,true,71901,114,59,10,Orlando International Airport,38,Los Angeles,3369,0,7,32,0,7910,6368
Domestic,3/23/23,66,23660,ORL,Los Angeles International Airport,3854,LAX,826,480,12:10 PM,281,0,true,1927,3,7:51 PM,3/23/23,California,United States,4.0,Orlando,false,Florida,United States,5.0,true,71901,123,60,9,Orlando International Airport,48,Los Angeles,1566,4,10,26,6264,8260,12480
